text,sentiment_score,used_tokens
"RT @ricaperalejobo: My husband is key to my understanding of love, while my son is key to my understanding of joy. And the key to having th…",0.8402,0.07407407407407407
RT @Emmabarnett: Nobody wants their hand kissed. https://t.co/lm4S4CP36A,0.7003,0.25
"RT @teddyboylocsin: US bars entry to International Criminal Court investigators WELL, THERE YOU HAVE IT. IT HAS FULLY LIVED UP TO ITS NAME…",-0.1449,0.13043478260869565
"RT @Pontifex: #Lent is a reminder to stop, to return to the essential, to fast from all that is superfluous and distracting. It is a wake-u…",-0.5267,0.08333333333333333
RT @franciskong: There is no story without a struggle. There is no message without a mess. There is no testimony without a test.(anon) God…,-0.367,0.38095238095238093
"@loveintagalog Hey, have you tried Misono Ice cream? Heaven",0.5106,0.1111111111111111
@loveintagalog Which is the joke? The free shower. The ice cream. Manila Water?,0.7059,0.15384615384615385
"@loveintagalog Too expensive for veggies grown with manure, don't you think? Is the guy making sandals still selling them at the park?",0.0,0.045454545454545456
"@loveintagalog Plethora thing kept popping into my mind and choc it spread and wisdom teeth, somewhat unconsciously… https://t.co/xVWNsrfXGW",0.5267,0.1111111111111111
@loveintagalog I found out that if you think of stuff around lunchtime and you think of the same stuff when you're… https://t.co/vstlQ1FGjG,0.0,0.0
"@loveintagalog Yeah, I got it na. It's not funny sort of. But it's funny na rin.",-0.3843,0.26666666666666666
"RT @PoetryIsPoetry: You do you. I will do me.

I write alone. I write something every day. I don’t even pretend it’s all good or highly ori…",0.128,0.17391304347826086
"RT @PoetryIsPoetry: As far a Twitter and social media is concerned, sometimes you have to block out a lot of noise. It is remarkable how mu…",0.1779,0.08333333333333333
RT @PoetryIsPoetry: There will always be critics and even haters who dislike your work and sometimes you. It doesn’t matter. Write first fo…,-0.7845,0.17391304347826086
RT @PoetryIsPoetry: go write. write a lot. write like no one is watching. give your words life. do your best. don’t give a fuck.,0.25,0.18181818181818182
@teddyboylocsin Difficult not to turn into the monsters we hunt down while at it. But we must try,-0.3612,0.1111111111111111
@loveintagalog I don't get it. I read your post at lunchtime.Going home from work. I still don't get it. Maybe after nightcap,0.0,0.10526315789473684
"@loveintagalog ""mug shot"" on this photo? ""Mug shot? "" Ang galing mo talaga! #writing",0.0,0.0
@attyjong @loveintagalog Wisdom tooth extraction. Two gallons naman. Three tops.,0.7717,0.2
@loveintagalog Mom's an angel.,0.0,0.0
RT @attyjong: @loveintagalog I said one gallon. You can't follow a simple instruction! Hahaha,0.5983,0.16666666666666666
RT @bk31: Will Hezbollah’s unprecedented power be its downfall? Probably not. But thanks to @ForeignAffairs for letting me explore the idea…,-0.3412,0.09523809523809523
@loveintagalog Ain't life sweet?,-0.357,0.5
